$GPGSV,3,1,11,03,25,286,42,16,44,238,44,26,72,291,47,27,10,190,33*7F
$GPGSV,3,2,11,28,51,054,44,29,29,061,43,31,60,000,47,32,41,146,46*75
$GPGSV,3,3,11,43,48,147,46,56,53,201,46,57,33,241,41*46
$GPGSV,3,1,11,03,25,286,42,16,44,238,44,26,72,291,47,27,10,190,33*7F
$GPGSV,3,2,11,28,51,054,44,29,29,061,43,31,60,000,47,32,41,146,46*75
$GPGSV,3,3,11,43,48,147,46,56,53,201,46,57,33,241,41*46
$GPGSV,3,1,11,03,25,286,41,16,44,238,44,26,72,291,47,27,10,190,33*7C
$GPGSV,3,2,11,28,51,054,44,29,29,061,43,31,60,000,47,32,41,146,46*75
$GPGSV,3,3,11,43,48,147,46,56,53,201,46,57,33,241,41*46
$GPGSV,3,1,11,03,25,286,41,16,44,238,44,26,72,291,47,27,10,190,33*7C
$GPGSV,3,2,11,28,51,054,44,29,29,061,43,31,60,000,47,32,41,146,46*75
$GPGSV,3,3,11,43,48,147,46,56,53,201,46,57,33,241,41*46
$GPGSV,3,1,11,03,25,286,41,16,44,238,44,26,72,291,47,27,10,190,33*7C
$GPGSV,3,2,11,28,51,054,44,29,29,061,43,31,60,000,47,32,41,146,46*75
$GPGSV,3,3,11,43,48,147,46,56,53,201,46,57,33,241,41*46
$GPGSV,3,1,11,03,25,286,41,16,44,238,44,26,72,291,47,27,10,190,33*7C
$GPGSV,3,2,11,28,51,054,44,29,29,061,43,31,60,000,47,32,41,146,46*75
$GPGSV,3,3,11,43,48,147,46,56,53,201,46,57,33,241,41*46
$GPGSV,3,1,11,03,25,286,41,16,44,238,44,26,72,291,47,27,10,190,33*7C
$GPGSV,3,2,11,28,51,054,44,29,29,061,43,31,60,000,47,32,41,146,46*75
$GPGSV,3,3,11,43,48,147,46,56,53,201,46,57,33,241,41*46
$GPGSV,3,1,11,03,25,286,41,16,44,238,44,26,72,291,47,27,10,190,33*7C
$GPGSV,3,2,11,28,51,054,44,29,29,061,43,31,60,000,47,32,41,146,46*75
$GPGSV,3,3,11,43,48,147,46,56,53,201,46,57,33,241,41*46
$GPGSV,3,1,11,03,25,286,41,16,44,238,44,26,72,291,47,27,10,190,33*7C
$GPGSV,3,2,11,28,51,054,44,29,29,061,43,31,60,000,47,32,41,146,46*75
$GPGSV,3,3,11,43,48,147,46,56,53,201,46,57,33,241,41*46
$GPGSV,3,1,11,03,25,286,41,16,44,238,44,26,72,291,47,27,10,190,33*7C
$GPGSV,3,2,11,28,51,054,44,29,29,061,43,31,60,000,47,32,41,146,46*75
$GPGSV,3,3,11,43,48,147,46,56,53,201,46,57,33,241,41*46
$GPGSV,3,1,11,03,25,286,41,16,44,238,44,26,72,291,47,27,10,190,33*7C
$GPGSV,3,2,11,28,51,054,44,29,29,061,43,31,60,000,47,32,41,146,46*75
$GPGSV,3,3,11,43,48,147,46,56,53,201,46,57,33,241,41*46
$GPGSV,3,1,11,03,25,286,41,16,44,238,44,26,72,291,47,27,10,190,33*7C
$GPGSV,3,2,11,28,51,054,44,29,29,061,43,31,60,000,47,32,41,146,46*75
$GPGSV,3,3,11,43,48,147,46,56,53,201,46,57,33,241,41*46
$GPGSV,3,1,11,03,25,286,41,16,44,238,44,26,72,291,47,27,10,190,33*7C
